cid;grupo_cid;descricao_grupo
B78.0;A00-B99;Doenças infecciosas e parasitárias
B78.1;A00-B99;Doenças infecciosas e parasitárias
B78.2;A00-B99;Doenças infecciosas e parasitárias
B78.3;A00-B99;Doenças infecciosas e parasitárias
B78.4;A00-B99;Doenças infecciosas e parasitárias
B78.5;A00-B99;Doenças infecciosas e parasitárias
B78.6;A00-B99;Doenças infecciosas e parasitárias
B78.7;A00-B99;Doenças infecciosas e parasitárias
B78.8;A00-B99;Doenças infecciosas e parasitárias
B78.9;A00-B99;Doenças infecciosas e parasitárias
B79;A00-B99;Doenças infecciosas e parasitárias
B79.0;A00-B99;Doenças infecciosas e parasitárias
B79.1;A00-B99;Doenças infecciosas e parasitárias
B79.2;A00-B99;Doenças infecciosas e parasitárias
B79.3;A00-B99;Doenças infecciosas e parasitárias
B79.4;A00-B99;Doenças infecciosas e parasitárias
B79.5;A00-B99;Doenças infecciosas e parasitárias
B79.6;A00-B99;Doenças infecciosas e parasitárias
B79.7;A00-B99;Doenças infecciosas e parasitárias
B79.8;A00-B99;Doenças infecciosas e parasitárias
B79.9;A00-B99;Doenças infecciosas e parasitárias
B80;A00-B99;Doenças infecciosas e parasitárias
B80.0;A00-B99;Doenças infecciosas e parasitárias
B80.1;A00-B99;Doenças infecciosas e parasitárias
B80.2;A00-B99;Doenças infecciosas e parasitárias
B80.3;A00-B99;Doenças infecciosas e parasitárias
B80.4;A00-B99;Doenças infecciosas e parasitárias
B80.5;A00-B99;Doenças infecciosas e parasitárias
B80.6;A00-B99;Doenças infecciosas e parasitárias
B80.7;A00-B99;Doenças infecciosas e parasitárias
B80.8;A00-B99;Doenças infecciosas e parasitárias
B80.9;A00-B99;Doenças infecciosas e parasitárias
B81;A00-B99;Doenças infecciosas e parasitárias
B81.0;A00-B99;Doenças infecciosas e parasitárias
B81.1;A00-B99;Doenças infecciosas e parasitárias
B81.2;A00-B99;Doenças infecciosas e parasitárias
B81.3;A00-B99;Doenças infecciosas e parasitárias
B81.4;A00-B99;Doenças infecciosas e parasitárias
B81.5;A00-B99;Doenças infecciosas e parasitárias
B81.6;A00-B99;Doenças infecciosas e parasitárias
B81.7;A00-B99;Doenças infecciosas e parasitárias
B81.8;A00-B99;Doenças infecciosas e parasitárias
B81.9;A00-B99;Doenças infecciosas e parasitárias
B82;A00-B99;Doenças infecciosas e parasitárias
B82.0;A00-B99;Doenças infecciosas e parasitárias
B82.1;A00-B99;Doenças infecciosas e parasitárias
B82.2;A00-B99;Doenças infecciosas e parasitárias
B82.3;A00-B99;Doenças infecciosas e parasitárias
B82.4;A00-B99;Doenças infecciosas e parasitárias
B82.5;A00-B99;Doenças infecciosas e parasitárias
B82.6;A00-B99;Doenças infecciosas e parasitárias
B82.7;A00-B99;Doenças infecciosas e parasitárias
B82.8;A00-B99;Doenças infecciosas e parasitárias
B82.9;A00-B99;Doenças infecciosas e parasitárias
B83;A00-B99;Doenças infecciosas e parasitárias
B83.0;A00-B99;Doenças infecciosas e parasitárias
B83.1;A00-B99;Doenças infecciosas e parasitárias
B83.2;A00-B99;Doenças infecciosas e parasitárias
B83.3;A00-B99;Doenças infecciosas e parasitárias
B83.4;A00-B99;Doenças infecciosas e parasitárias
B83.5;A00-B99;Doenças infecciosas e parasitárias
B83.6;A00-B99;Doenças infecciosas e parasitárias
B83.7;A00-B99;Doenças infecciosas e parasitárias
B83.8;A00-B99;Doenças infecciosas e parasitárias
B83.9;A00-B99;Doenças infecciosas e parasitárias
B84;A00-B99;Doenças infecciosas e parasitárias
B84.0;A00-B99;Doenças infecciosas e parasitárias
B84.1;A00-B99;Doenças infecciosas e parasitárias
B84.2;A00-B99;Doenças infecciosas e parasitárias
B84.3;A00-B99;Doenças infecciosas e parasitárias
B84.4;A00-B99;Doenças infecciosas e parasitárias
B84.5;A00-B99;Doenças infecciosas e parasitárias
B84.6;A00-B99;Doenças infecciosas e parasitárias
B84.7;A00-B99;Doenças infecciosas e parasitárias
B84.8;A00-B99;Doenças infecciosas e parasitárias
B84.9;A00-B99;Doenças infecciosas e parasitárias
B85;A00-B99;Doenças infecciosas e parasitárias
B85.0;A00-B99;Doenças infecciosas e parasitárias
B85.1;A00-B99;Doenças infecciosas e parasitárias
B85.2;A00-B99;Doenças infecciosas e parasitárias
B85.3;A00-B99;Doenças infecciosas e parasitárias
B85.4;A00-B99;Doenças infecciosas e parasitárias
B85.5;A00-B99;Doenças infecciosas e parasitárias
B85.6;A00-B99;Doenças infecciosas e parasitárias
B85.7;A00-B99;Doenças infecciosas e parasitárias
B85.8;A00-B99;Doenças infecciosas e parasitárias
B85.9;A00-B99;Doenças infecciosas e parasitárias
B86;A00-B99;Doenças infecciosas e parasitárias
B86.0;A00-B99;Doenças infecciosas e parasitárias
B86.1;A00-B99;Doenças infecciosas e parasitárias
B86.2;A00-B99;Doenças infecciosas e parasitárias
B86.3;A00-B99;Doenças infecciosas e parasitárias
B86.4;A00-B99;Doenças infecciosas e parasitárias
B86.5;A00-B99;Doenças infecciosas e parasitárias
B86.6;A00-B99;Doenças infecciosas e parasitárias
B86.7;A00-B99;Doenças infecciosas e parasitárias
B86.8;A00-B99;Doenças infecciosas e parasitárias
B86.9;A00-B99;Doenças infecciosas e parasitárias
B87;A00-B99;Doenças infecciosas e parasitárias
B87.0;A00-B99;Doenças infecciosas e parasitárias
B87.1;A00-B99;Doenças infecciosas e parasitárias
B87.2;A00-B99;Doenças infecciosas e parasitárias
B87.3;A00-B99;Doenças infecciosas e parasitárias
B87.4;A00-B99;Doenças infecciosas e parasitárias
B87.5;A00-B99;Doenças infecciosas e parasitárias
B87.6;A00-B99;Doenças infecciosas e parasitárias
B87.7;A00-B99;Doenças infecciosas e parasitárias
B87.8;A00-B99;Doenças infecciosas e parasitárias
B87.9;A00-B99;Doenças infecciosas e parasitárias
B88;A00-B99;Doenças infecciosas e parasitárias
B88.0;A00-B99;Doenças infecciosas e parasitárias
B88.1;A00-B99;Doenças infecciosas e parasitárias
B88.2;A00-B99;Doenças infecciosas e parasitárias
B88.3;A00-B99;Doenças infecciosas e parasitárias
B88.4;A00-B99;Doenças infecciosas e parasitárias
B88.5;A00-B99;Doenças infecciosas e parasitárias
B88.6;A00-B99;Doenças infecciosas e parasitárias
B88.7;A00-B99;Doenças infecciosas e parasitárias
B88.8;A00-B99;Doenças infecciosas e parasitárias
B88.9;A00-B99;Doenças infecciosas e parasitárias
B89;A00-B99;Doenças infecciosas e parasitárias
B89.0;A00-B99;Doenças infecciosas e parasitárias
B89.1;A00-B99;Doenças infecciosas e parasitárias
B89.2;A00-B99;Doenças infecciosas e parasitárias
B89.3;A00-B99;Doenças infecciosas e parasitárias
B89.4;A00-B99;Doenças infecciosas e parasitárias
B89.5;A00-B99;Doenças infecciosas e parasitárias
B89.6;A00-B99;Doenças infecciosas e parasitárias
B89.7;A00-B99;Doenças infecciosas e parasitárias
B89.8;A00-B99;Doenças infecciosas e parasitárias
B89.9;A00-B99;Doenças infecciosas e parasitárias
B90;A00-B99;Doenças infecciosas e parasitárias
B90.0;A00-B99;Doenças infecciosas e parasitárias
B90.1;A00-B99;Doenças infecciosas e parasitárias
B90.2;A00-B99;Doenças infecciosas e parasitárias
B90.3;A00-B99;Doenças infecciosas e parasitárias
B90.4;A00-B99;Doenças infecciosas e parasitárias
B90.5;A00-B99;Doenças infecciosas e parasitárias
B90.6;A00-B99;Doenças infecciosas e parasitárias
B90.7;A00-B99;Doenças infecciosas e parasitárias
B90.8;A00-B99;Doenças infecciosas e parasitárias
B90.9;A00-B99;Doenças infecciosas e parasitárias
B91;A00-B99;Doenças infecciosas e parasitárias
B91.0;A00-B99;Doenças infecciosas e parasitárias
B91.1;A00-B99;Doenças infecciosas e parasitárias
B91.2;A00-B99;Doenças infecciosas e parasitárias
B91.3;A00-B99;Doenças infecciosas e parasitárias
B91.4;A00-B99;Doenças infecciosas e parasitárias
B91.5;A00-B99;Doenças infecciosas e parasitárias
B91.6;A00-B99;Doenças infecciosas e parasitárias
B91.7;A00-B99;Doenças infecciosas e parasitárias
B91.8;A00-B99;Doenças infecciosas e parasitárias
B91.9;A00-B99;Doenças infecciosas e parasitárias
B92;A00-B99;Doenças infecciosas e parasitárias
B92.0;A00-B99;Doenças infecciosas e parasitárias
B92.1;A00-B99;Doenças infecciosas e parasitárias
B92.2;A00-B99;Doenças infecciosas e parasitárias
B92.3;A00-B99;Doenças infecciosas e parasitárias
B92.4;A00-B99;Doenças infecciosas e parasitárias
B92.5;A00-B99;Doenças infecciosas e parasitárias
B92.6;A00-B99;Doenças infecciosas e parasitárias
B92.7;A00-B99;Doenças infecciosas e parasitárias
B92.8;A00-B99;Doenças infecciosas e parasitárias
B92.9;A00-B99;Doenças infecciosas e parasitárias
B93;A00-B99;Doenças infecciosas e parasitárias
B93.0;A00-B99;Doenças infecciosas e parasitárias
B93.1;A00-B99;Doenças infecciosas e parasitárias
B93.2;A00-B99;Doenças infecciosas e parasitárias
B93.3;A00-B99;Doenças infecciosas e parasitárias
B93.4;A00-B99;Doenças infecciosas e parasitárias
B93.5;A00-B99;Doenças infecciosas e parasitárias
B93.6;A00-B99;Doenças infecciosas e parasitárias
B93.7;A00-B99;Doenças infecciosas e parasitárias
B93.8;A00-B99;Doenças infecciosas e parasitárias
B93.9;A00-B99;Doenças infecciosas e parasitárias
B94;A00-B99;Doenças infecciosas e parasitárias
B94.0;A00-B99;Doenças infecciosas e parasitárias
B94.1;A00-B99;Doenças infecciosas e parasitárias
B94.2;A00-B99;Doenças infecciosas e parasitárias
B94.3;A00-B99;Doenças infecciosas e parasitárias
B94.4;A00-B99;Doenças infecciosas e parasitárias
B94.5;A00-B99;Doenças infecciosas e parasitárias
B94.6;A00-B99;Doenças infecciosas e parasitárias
B94.7;A00-B99;Doenças infecciosas e parasitárias
B94.8;A00-B99;Doenças infecciosas e parasitárias
B94.9;A00-B99;Doenças infecciosas e parasitárias
B95;A00-B99;Doenças infecciosas e parasitárias
B95.0;A00-B99;Doenças infecciosas e parasitárias
B95.1;A00-B99;Doenças infecciosas e parasitárias
B95.2;A00-B99;Doenças infecciosas e parasitárias
B95.3;A00-B99;Doenças infecciosas e parasitárias
B95.4;A00-B99;Doenças infecciosas e parasitárias
B95.5;A00-B99;Doenças infecciosas e parasitárias
B95.6;A00-B99;Doenças infecciosas e parasitárias
B95.7;A00-B99;Doenças infecciosas e parasitárias
B95.8;A00-B99;Doenças infecciosas e parasitárias
B95.9;A00-B99;Doenças infecciosas e parasitárias
B96;A00-B99;Doenças infecciosas e parasitárias
B96.0;A00-B99;Doenças infecciosas e parasitárias
B96.1;A00-B99;Doenças infecciosas e parasitárias
B96.2;A00-B99;Doenças infecciosas e parasitárias
B96.3;A00-B99;Doenças infecciosas e parasitárias
B96.4;A00-B99;Doenças infecciosas e parasitárias
B96.5;A00-B99;Doenças infecciosas e parasitárias
B96.6;A00-B99;Doenças infecciosas e parasitárias
B96.7;A00-B99;Doenças infecciosas e parasitárias
B96.8;A00-B99;Doenças infecciosas e parasitárias
B96.9;A00-B99;Doenças infecciosas e parasitárias
B97;A00-B99;Doenças infecciosas e parasitárias
B97.0;A00-B99;Doenças infecciosas e parasitárias
B97.1;A00-B99;Doenças infecciosas e parasitárias
B97.2;A00-B99;Doenças infecciosas e parasitárias
B97.3;A00-B99;Doenças infecciosas e parasitárias
B97.4;A00-B99;Doenças infecciosas e parasitárias
B97.5;A00-B99;Doenças infecciosas e parasitárias
B97.6;A00-B99;Doenças infecciosas e parasitárias
B97.7;A00-B99;Doenças infecciosas e parasitárias
B97.8;A00-B99;Doenças infecciosas e parasitárias
B97.9;A00-B99;Doenças infecciosas e parasitárias
B98;A00-B99;Doenças infecciosas e parasitárias
B98.0;A00-B99;Doenças infecciosas e parasitárias
B98.1;A00-B99;Doenças infecciosas e parasitárias
B98.2;A00-B99;Doenças infecciosas e parasitárias
B98.3;A00-B99;Doenças infecciosas e parasitárias
B98.4;A00-B99;Doenças infecciosas e parasitárias
B98.5;A00-B99;Doenças infecciosas e parasitárias
B98.6;A00-B99;Doenças infecciosas e parasitárias
B98.7;A00-B99;Doenças infecciosas e parasitárias
B98.8;A00-B99;Doenças infecciosas e parasitárias
B98.9;A00-B99;Doenças infecciosas e parasitárias
B99;A00-B99;Doenças infecciosas e parasitárias
B99.0;A00-B99;Doenças infecciosas e parasitárias
B99.1;A00-B99;Doenças infecciosas e parasitárias
B99.2;A00-B99;Doenças infecciosas e parasitárias
B99.3;A00-B99;Doenças infecciosas e parasitárias
B99.4;A00-B99;Doenças infecciosas e parasitárias
B99.5;A00-B99;Doenças infecciosas e parasitárias
B99.6;A00-B99;Doenças infecciosas e parasitárias
B99.7;A00-B99;Doenças infecciosas e parasitárias
B99.8;A00-B99;Doenças infecciosas e parasitárias
B99.9;A00-B99;Doenças infecciosas e parasitárias
C00;C00-D48;Neoplasias
C00.0;C00-D48;Neoplasias
C00.1;C00-D48;Neoplasias
C00.2;C00-D48;Neoplasias
C00.3;C00-D48;Neoplasias
C00.4;C00-D48;Neoplasias
C00.5;C00-D48;Neoplasias
C00.6;C00-D48;Neoplasias
C00.7;C00-D48;Neoplasias
C00.8;C00-D48;Neoplasias
C00.9;C00-D48;Neoplasias
C01;C00-D48;Neoplasias
C01.0;C00-D48;Neoplasias
C01.1;C00-D48;Neoplasias
C01.2;C00-D48;Neoplasias
C01.3;C00-D48;Neoplasias
C01.4;C00-D48;Neoplasias
C01.5;C00-D48;Neoplasias
C01.6;C00-D48;Neoplasias
C01.7;C00-D48;Neoplasias
C01.8;C00-D48;Neoplasias
C01.9;C00-D48;Neoplasias
C02;C00-D48;Neoplasias
C02.0;C00-D48;Neoplasias
C02.1;C00-D48;Neoplasias
C02.2;C00-D48;Neoplasias
C02.3;C00-D48;Neoplasias
C02.4;C00-D48;Neoplasias
C02.5;C00-D48;Neoplasias
C02.6;C00-D48;Neoplasias
C02.7;C00-D48;Neoplasias
C02.8;C00-D48;Neoplasias
C02.9;C00-D48;Neoplasias
C03;C00-D48;Neoplasias
C03.0;C00-D48;Neoplasias
C03.1;C00-D48;Neoplasias
C03.2;C00-D48;Neoplasias
C03.3;C00-D48;Neoplasias
C03.4;C00-D48;Neoplasias
C03.5;C00-D48;Neoplasias
C03.6;C00-D48;Neoplasias
C03.7;C00-D48;Neoplasias
C03.8;C00-D48;Neoplasias
C03.9;C00-D48;Neoplasias
C04;C00-D48;Neoplasias
C04.0;C00-D48;Neoplasias
C04.1;C00-D48;Neoplasias
C04.2;C00-D48;Neoplasias
C04.3;C00-D48;Neoplasias
C04.4;C00-D48;Neoplasias
C04.5;C00-D48;Neoplasias
C04.6;C00-D48;Neoplasias
C04.7;C00-D48;Neoplasias
C04.8;C00-D48;Neoplasias
C04.9;C00-D48;Neoplasias
C05;C00-D48;Neoplasias
C05.0;C00-D48;Neoplasias
C05.1;C00-D48;Neoplasias
C05.2;C00-D48;Neoplasias
C05.3;C00-D48;Neoplasias
C05.4;C00-D48;Neoplasias
C05.5;C00-D48;Neoplasias
C05.6;C00-D48;Neoplasias
C05.7;C00-D48;Neoplasias
C05.8;C00-D48;Neoplasias
C05.9;C00-D48;Neoplasias
C06;C00-D48;Neoplasias
C06.0;C00-D48;Neoplasias
C06.1;C00-D48;Neoplasias
C06.2;C00-D48;Neoplasias
C06.3;C00-D48;Neoplasias
C06.4;C00-D48;Neoplasias
C06.5;C00-D48;Neoplasias
C06.6;C00-D48;Neoplasias
C06.7;C00-D48;Neoplasias
C06.8;C00-D48;Neoplasias
C06.9;C00-D48;Neoplasias
C07;C00-D48;Neoplasias
C07.0;C00-D48;Neoplasias
C07.1;C00-D48;Neoplasias
C07.2;C00-D48;Neoplasias
C07.3;C00-D48;Neoplasias
C07.4;C00-D48;Neoplasias
C07.5;C00-D48;Neoplasias
C07.6;C00-D48;Neoplasias
C07.7;C00-D48;Neoplasias
C07.8;C00-D48;Neoplasias
C07.9;C00-D48;Neoplasias
C08;C00-D48;Neoplasias
C08.0;C00-D48;Neoplasias
C08.1;C00-D48;Neoplasias
C08.2;C00-D48;Neoplasias
C08.3;C00-D48;Neoplasias
C08.4;C00-D48;Neoplasias
C08.5;C00-D48;Neoplasias
C08.6;C00-D48;Neoplasias
C08.7;C00-D48;Neoplasias
C08.8;C00-D48;Neoplasias
C08.9;C00-D48;Neoplasias
C09;C00-D48;Neoplasias
C09.0;C00-D48;Neoplasias
C09.1;C00-D48;Neoplasias
C09.2;C00-D48;Neoplasias
C09.3;C00-D48;Neoplasias
C09.4;C00-D48;Neoplasias
C09.5;C00-D48;Neoplasias
C09.6;C00-D48;Neoplasias
C09.7;C00-D48;Neoplasias
C09.8;C00-D48;Neoplasias
C09.9;C00-D48;Neoplasias
C10;C00-D48;Neoplasias
C10.0;C00-D48;Neoplasias
C10.1;C00-D48;Neoplasias
C10.2;C00-D48;Neoplasias
C10.3;C00-D48;Neoplasias
C10.4;C00-D48;Neoplasias
C10.5;C00-D48;Neoplasias
C10.6;C00-D48;Neoplasias
C10.7;C00-D48;Neoplasias
C10.8;C00-D48;Neoplasias
C10.9;C00-D48;Neoplasias
C11;C00-D48;Neoplasias
C11.0;C00-D48;Neoplasias
C11.1;C00-D48;Neoplasias
C11.2;C00-D48;Neoplasias
C11.3;C00-D48;Neoplasias
C11.4;C00-D48;Neoplasias
C11.5;C00-D48;Neoplasias
C11.6;C00-D48;Neoplasias
C11.7;C00-D48;Neoplasias
C11.8;C00-D48;Neoplasias
C11.9;C00-D48;Neoplasias
C12;C00-D48;Neoplasias
C12.0;C00-D48;Neoplasias
C12.1;C00-D48;Neoplasias
C12.2;C00-D48;Neoplasias
C12.3;C00-D48;Neoplasias
C12.4;C00-D48;Neoplasias
C12.5;C00-D48;Neoplasias
C12.6;C00-D48;Neoplasias
C12.7;C00-D48;Neoplasias
C12.8;C00-D48;Neoplasias
C12.9;C00-D48;Neoplasias
C13;C00-D48;Neoplasias
C13.0;C00-D48;Neoplasias
C13.1;C00-D48;Neoplasias
C13.2;C00-D48;Neoplasias
C13.3;C00-D48;Neoplasias
C13.4;C00-D48;Neoplasias
C13.5;C00-D48;Neoplasias
C13.6;C00-D48;Neoplasias
C13.7;C00-D48;Neoplasias
C13.8;C00-D48;Neoplasias
C13.9;C00-D48;Neoplasias
C14;C00-D48;Neoplasias
C14.0;C00-D48;Neoplasias
C14.1;C00-D48;Neoplasias
C14.2;C00-D48;Neoplasias
C14.3;C00-D48;Neoplasias
C14.4;C00-D48;Neoplasias
C14.5;C00-D48;Neoplasias
C14.6;C00-D48;Neoplasias
C14.7;C00-D48;Neoplasias
C14.8;C00-D48;Neoplasias
C14.9;C00-D48;Neoplasias
C15;C00-D48;Neoplasias
C15.0;C00-D48;Neoplasias
C15.1;C00-D48;Neoplasias
C15.2;C00-D48;Neoplasias
C15.3;C00-D48;Neoplasias
C15.4;C00-D48;Neoplasias
C15.5;C00-D48;Neoplasias
C15.6;C00-D48;Neoplasias
C15.7;C00-D48;Neoplasias
C15.8;C00-D48;Neoplasias
C15.9;C00-D48;Neoplasias
C16;C00-D48;Neoplasias
C16.0;C00-D48;Neoplasias
C16.1;C00-D48;Neoplasias
C16.2;C00-D48;Neoplasias
C16.3;C00-D48;Neoplasias
C16.4;C00-D48;Neoplasias
C16.5;C00-D48;Neoplasias
C16.6;C00-D48;Neoplasias
C16.7;C00-D48;Neoplasias
C16.8;C00-D48;Neoplasias
C16.9;C00-D48;Neoplasias
C17;C00-D48;Neoplasias
C17.0;C00-D48;Neoplasias
C17.1;C00-D48;Neoplasias
C17.2;C00-D48;Neoplasias
C17.3;C00-D48;Neoplasias
C17.4;C00-D48;Neoplasias
C17.5;C00-D48;Neoplasias
C17.6;C00-D48;Neoplasias
C17.7;C00-D48;Neoplasias
C17.8;C00-D48;Neoplasias
C17.9;C00-D48;Neoplasias
C18;C00-D48;Neoplasias
C18.0;C00-D48;Neoplasias
C18.1;C00-D48;Neoplasias
C18.2;C00-D48;Neoplasias
C18.3;C00-D48;Neoplasias
C18.4;C00-D48;Neoplasias
C18.5;C00-D48;Neoplasias
C18.6;C00-D48;Neoplasias
C18.7;C00-D48;Neoplasias
C18.8;C00-D48;Neoplasias
C18.9;C00-D48;Neoplasias
C19;C00-D48;Neoplasias
C19.0;C00-D48;Neoplasias
C19.1;C00-D48;Neoplasias
C19.2;C00-D48;Neoplasias
C19.3;C00-D48;Neoplasias
C19.4;C00-D48;Neoplasias
C19.5;C00-D48;Neoplasias
C19.6;C00-D48;Neoplasias
C19.7;C00-D48;Neoplasias
C19.8;C00-D48;Neoplasias
C19.9;C00-D48;Neoplasias
C20;C00-D48;Neoplasias
C20.0;C00-D48;Neoplasias
C20.1;C00-D48;Neoplasias
C20.2;C00-D48;Neoplasias
C20.3;C00-D48;Neoplasias
C20.4;C00-D48;Neoplasias
C20.5;C00-D48;Neoplasias
C20.6;C00-D48;Neoplasias
C20.7;C00-D48;Neoplasias
C20.8;C00-D48;Neoplasias
C20.9;C00-D48;Neoplasias
C21;C00-D48;Neoplasias
C21.0;C00-D48;Neoplasias
C21.1;C00-D48;Neoplasias
C21.2;C00-D48;Neoplasias
C21.3;C00-D48;Neoplasias
C21.4;C00-D48;Neoplasias
C21.5;C00-D48;Neoplasias
C21.6;C00-D48;Neoplasias
C21.7;C00-D48;Neoplasias
C21.8;C00-D48;Neoplasias
C21.9;C00-D48;Neoplasias
C22;C00-D48;Neoplasias
C22.0;C00-D48;Neoplasias
C22.1;C00-D48;Neoplasias
C22.2;C00-D48;Neoplasias
C22.3;C00-D48;Neoplasias
C22.4;C00-D48;Neoplasias
C22.5;C00-D48;Neoplasias
C22.6;C00-D48;Neoplasias
C22.7;C00-D48;Neoplasias
C22.8;C00-D48;Neoplasias
C22.9;C00-D48;Neoplasias
C23;C00-D48;Neoplasias
C23.0;C00-D48;Neoplasias
C23.1;C00-D48;Neoplasias
C23.2;C00-D48;Neoplasias
C23.3;C00-D48;Neoplasias
C23.4;C00-D48;Neoplasias
C23.5;C00-D48;Neoplasias
C23.6;C00-D48;Neoplasias
C23.7;C00-D48;Neoplasias
C23.8;C00-D48;Neoplasias
C23.9;C00-D48;Neoplasias
C24;C00-D48;Neoplasias
C24.0;C00-D48;Neoplasias
C24.1;C00-D48;Neoplasias
C24.2;C00-D48;Neoplasias
C24.3;C00-D48;Neoplasias
C24.4;C00-D48;Neoplasias
C24.5;C00-D48;Neoplasias
C24.6;C00-D48;Neoplasias
C24.7;C00-D48;Neoplasias
C24.8;C00-D48;Neoplasias
C24.9;C00-D48;Neoplasias
C25;C00-D48;Neoplasias
C25.0;C00-D48;Neoplasias
C25.1;C00-D48;Neoplasias
C25.2;C00-D48;Neoplasias
C25.3;C00-D48;Neoplasias
C25.4;C00-D48;Neoplasias
C25.5;C00-D48;Neoplasias
C25.6;C00-D48;Neoplasias
C25.7;C00-D48;Neoplasias
C25.8;C00-D48;Neoplasias
C25.9;C00-D48;Neoplasias
C26;C00-D48;Neoplasias
C26.0;C00-D48;Neoplasias
C26.1;C00-D48;Neoplasias
C26.2;C00-D48;Neoplasias
C26.3;C00-D48;Neoplasias
C26.4;C00-D48;Neoplasias
C26.5;C00-D48;Neoplasias
C26.6;C00-D48;Neoplasias
C26.7;C00-D48;Neoplasias
C26.8;C00-D48;Neoplasias
C26.9;C00-D48;Neoplasias
C27;C00-D48;Neoplasias
C27.0;C00-D48;Neoplasias
C27.1;C00-D48;Neoplasias
C27.2;C00-D48;Neoplasias
C27.3;C00-D48;Neoplasias
C27.4;C00-D48;Neoplasias
C27.5;C00-D48;Neoplasias
C27.6;C00-D48;Neoplasias
C27.7;C00-D48;Neoplasias
C27.8;C00-D48;Neoplasias
C27.9;C00-D48;Neoplasias
C28;C00-D48;Neoplasias
C28.0;C00-D48;Neoplasias
C28.1;C00-D48;Neoplasias
C28.2;C00-D48;Neoplasias
C28.3;C00-D48;Neoplasias
C28.4;C00-D48;Neoplasias
C28.5;C00-D48;Neoplasias
C28.6;C00-D48;Neoplasias
C28.7;C00-D48;Neoplasias
C28.8;C00-D48;Neoplasias
C28.9;C00-D48;Neoplasias
C29;C00-D48;Neoplasias
C29.0;C00-D48;Neoplasias
C29.1;C00-D48;Neoplasias
C29.2;C00-D48;Neoplasias
C29.3;C00-D48;Neoplasias
C29.4;C00-D48;Neoplasias
C29.5;C00-D48;Neoplasias
C29.6;C00-D48;Neoplasias
C29.7;C00-D48;Neoplasias
C29.8;C00-D48;Neoplasias
C29.9;C00-D48;Neoplasias
C30;C00-D48;Neoplasias
C30.0;C00-D48;Neoplasias
C30.1;C00-D48;Neoplasias
C30.2;C00-D48;Neoplasias
C30.3;C00-D48;Neoplasias
C30.4;C00-D48;Neoplasias
C30.5;C00-D48;Neoplasias
C30.6;C00-D48;Neoplasias
C30.7;C00-D48;Neoplasias
C30.8;C00-D48;Neoplasias
C30.9;C00-D48;Neoplasias
C31;C00-D48;Neoplasias
C31.0;C00-D48;Neoplasias
C31.1;C00-D48;Neoplasias
C31.2;C00-D48;Neoplasias
C31.3;C00-D48;Neoplasias
C31.4;C00-D48;Neoplasias
C31.5;C00-D48;Neoplasias
C31.6;C00-D48;Neoplasias
C31.7;C00-D48;Neoplasias
C31.8;C00-D48;Neoplasias
C31.9;C00-D48;Neoplasias
C32;C00-D48;Neoplasias
C32.0;C00-D48;Neoplasias
C32.1;C00-D48;Neoplasias
C32.2;C00-D48;Neoplasias
C32.3;C00-D48;Neoplasias
C32.4;C00-D48;Neoplasias
C32.5;C00-D48;Neoplasias
C32.6;C00-D48;Neoplasias
C32.7;C00-D48;Neoplasias
C32.8;C00-D48;Neoplasias
C32.9;C00-D48;Neoplasias
C33;C00-D48;Neoplasias
C33.0;C00-D48;Neoplasias
C33.1;C00-D48;Neoplasias
C33.2;C00-D48;Neoplasias
C33.3;C00-D48;Neoplasias
C33.4;C00-D48;Neoplasias
C33.5;C00-D48;Neoplasias
C33.6;C00-D48;Neoplasias
C33.7;C00-D48;Neoplasias
C33.8;C00-D48;Neoplasias
C33.9;C00-D48;Neoplasias
C34;C00-D48;Neoplasias
C34.0;C00-D48;Neoplasias
C34.1;C00-D48;Neoplasias
C34.2;C00-D48;Neoplasias
C34.3;C00-D48;Neoplasias
C34.4;C00-D48;Neoplasias
C34.5;C00-D48;Neoplasias
C34.6;C00-D48;Neoplasias
C34.7;C00-D48;Neoplasias
C34.8;C00-D48;Neoplasias
C34.9;C00-D48;Neoplasias
C35;C00-D48;Neoplasias
C35.0;C00-D48;Neoplasias
C35.1;C00-D48;Neoplasias
C35.2;C00-D48;Neoplasias
C35.3;C00-D48;Neoplasias
C35.4;C00-D48;Neoplasias
C35.5;C00-D48;Neoplasias
C35.6;C00-D48;Neoplasias
C35.7;C00-D48;Neoplasias
C35.8;C00-D48;Neoplasias
C35.9;C00-D48;Neoplasias
C36;C00-D48;Neoplasias
C36.0;C00-D48;Neoplasias
C36.1;C00-D48;Neoplasias
C36.2;C00-D48;Neoplasias
C36.3;C00-D48;Neoplasias
C36.4;C00-D48;Neoplasias
C36.5;C00-D48;Neoplasias
C36.6;C00-D48;Neoplasias
C36.7;C00-D48;Neoplasias
C36.8;C00-D48;Neoplasias
C36.9;C00-D48;Neoplasias
C37;C00-D48;Neoplasias
C37.0;C00-D48;Neoplasias
C37.1;C00-D48;Neoplasias
C37.2;C00-D48;Neoplasias
C37.3;C00-D48;Neoplasias
C37.4;C00-D48;Neoplasias
C37.5;C00-D48;Neoplasias
C37.6;C00-D48;Neoplasias
C37.7;C00-D48;Neoplasias
C37.8;C00-D48;Neoplasias
C37.9;C00-D48;Neoplasias
C38;C00-D48;Neoplasias
C38.0;C00-D48;Neoplasias
C38.1;C00-D48;Neoplasias
